0	1390	1760	1490	1890	1590	2020
1000	1530	1950	1640	2080	1760	2230
2000	1680	2150	1810	2300	1940	2470
3000	1860	2380	2000	2550	2150	2750
4000	2060	2650	2220	2850	2380	3070
5000	2280	2950	2460	3190	2640	3450
6000	2530	3310	2730	3590	2950	3900
7000	2830	3750	3160	4190	3410	4570
8000	3280	4420	3540	4840	3830	5330
9000	3690	5170	4000	5730	4330	6420
10000	4150	6140	4500	6980	4880	8130
0	1160	1470	1240	1570	1330	1680
1000	1280	1620	1370	1730	1470	1850
2000	1400	1780	1500	1910	1610	2040
3000	1550	1960	1660	2100	1780	2260
4000	1710	2180	1840	2340	1970	2510
5000	1890	2410	2030	2590	2180	2790
6000	2090	2690	2250	2890	2420	3120
7000	2330	3010	2510	3250	2700	3520
8000	2600	3400	2800	3690	3030	4010
9000	2920	3890	3270	4360	3530	4760
10000	3390	4580	3660	5030	3960	5580
0	980	1220	1020	1300	1090	1380
1000	1060	1340	1120	1430	1200	1520
2000	1150	1460	1230	1580	1320	1670
3000	1270	1610	1360	1720	1480	1840
4000	1400	1770	1500	1900	1610	2030
5000	1540	1960	1650	2100	1780	2250
6000	1700	2170	1830	2330	1970	2500
7000	1890	2410	2030	2590	2190	2790
8000	2100	2700	2260	2910	2440	3140
9000	2350	3040	2540	3290	2730	3570
10000	2620	3430	2830	3730	3060	4060
